id,category,name,rarity,value,size,boundary,堆叠数量
"0001","收藏品","古代能源核心","红",15846000,"1x1","本品质最高；全类别最高",1
"0002","收藏品","熔金古币箱","红",7418625,"2x2","",1
"0003","收藏品","密封圣遗物","红",2943000,"1x1","",1
"0004","收藏品","失落王冠","红",1284000,"2x2","",1
"0005","收藏品","帝王签名手稿","红",1276348,"1x2","本品质最低",1
"0006","收藏品","鎏金雕像","金",348625,"2x3","本品质最高",1
"0007","收藏品","珍藏油画","金",312846,"2x3","",1
"0008","收藏品","青铜兽首","金",214000,"2x2","",1
"0009","收藏品","祖母绿胸针","金",132814,"1x1","",1
"0010","收藏品","金质怀表","金",81427,"1x1","本品质最低",1
"0011","收藏品","珐琅座钟","紫",49384,"2x2","本品质最高",1
"0012","收藏品","翡翠手镯","紫",42657,"1x1","",1
"0013","收藏品","手摇留声机","紫",31119,"2x2","",1
"0014","收藏品","骨雕棋子组","紫",18742,"2x1","",1
"0015","收藏品","限量纪念册","紫",11286,"1x2","本品质最低",1
"0016","收藏品","镀银餐具套","蓝",19863,"2x2","本品质最高",1
"0017","收藏品","琉璃烟斗","蓝",13478,"1x2","",1
"0018","收藏品","旧胶片相机","蓝",8642,"2x1","",1
"0019","收藏品","黑胶唱片","蓝",4917,"1x1","",1
"0020","收藏品","铜质怀表","蓝",2734,"1x1","本品质最低；本类别最低",1
"0021","情报文件","限量画册","金",132486,"2x1","本品质最高",1
"0022","情报文件","手写诗稿","金",81639,"1x1","本品质最低",1
"0023","情报文件","珍藏信件集","紫",49761,"2x2","本品质最高",1
"0024","情报文件","家庭相册原件","紫",46827,"1x1","",1
"0025","情报文件","私人日记原稿","紫",43712,"1x2","",1
"0026","情报文件","遗嘱原件","紫",36528,"1x1","",1
"0027","情报文件","家庭食谱本","紫",27936,"1x2","",1
"0028","情报文件","手写日记本","紫",11418,"1x2","本品质最低",1
"0029","情报文件","信件档案袋","蓝",19547,"2x1","本品质最高",1
"0030","情报文件","长卷家书原件","蓝",10267,"1x4","",1
"0031","情报文件","折叠旅行地图","蓝",8519,"3x1","",1
"0032","情报文件","家庭相册","蓝",2831,"1x1","本品质最低",1
"0033","情报文件","旧报纸剪报","白",148,"1x1","本品质最高",1
"0034","情报文件","私人通讯录","白",74,"1x2","",1
"0035","情报文件","个人便签簿","白",21,"1x1","本品质最低",1
"0036","电子设备","原型量子芯片","红",1284736,"1x1","本品质最低；本品质最高",1
"0037","电子设备","专用测量模块","金",244681,"2x2","本品质最高",1
"0038","电子设备","高端无人机","金",214572,"2x2","",1
"0039","电子设备","加密存储器","金",86314,"1x1","本品质最低",1
"0040","电子设备","热成像仪","紫",49827,"1x1","本品质最高",1
"0041","电子设备","游戏主机","紫",41583,"2x1","",1
"0042","电子设备","固态硬盘","紫",36427,"1x1","",1
"0043","电子设备","平板电脑","紫",32764,"2x1","",1
"0044","电子设备","专业相机镜头","紫",28936,"1x2","",1
"0045","电子设备","旧式笔记本电脑","紫",25418,"2x2","本品质最低",1
"0046","电子设备","车载记录仪","蓝",24753,"1x1","本品质最高",1
"0047","电子设备","移动硬盘","蓝",16287,"1x1","",1
"0048","电子设备","高速存储卡","蓝",11934,"1x1","",1
"0049","电子设备","手持对讲机","蓝",8681,"1x1","",1
"0050","电子设备","旧充电宝","蓝",5147,"1x1","",1
"0051","电子设备","充电数据线","蓝",3012,"1x2","本品质最低",1
"0052","电子设备","二手计算器","白",368,"1x1","本品质最高",1
"0053","电子设备","碎屏手机","白",173,"1x1","",1
"0054","电子设备","旧遥控器","白",56,"1x1","",1
"0055","电子设备","损坏耳机","白",18,"1x1","本品质最低",1
"0056","工具","紧凑焊接设备","金",234718,"2x2","本品质最高",1
"0057","工具","气动扳手","金",128643,"2x1","",1
"0058","工具","激光测距仪","金",84219,"1x1","本品质最低",1
"0059","工具","精密工具组","紫",49487,"2x2","本品质最高",1
"0060","工具","热切割工具","紫",47632,"2x1","",1
"0061","工具","扭力扳手","紫",35918,"1x2","",1
"0062","工具","角磨机","紫",28742,"2x1","",1
"0063","工具","无线电钻","紫",21384,"2x1","本品质最低",1
"0064","工具","便携工具箱","蓝",24193,"2x2","本品质最高",1
"0065","工具","压力表","蓝",17248,"1x1","",1
"0066","工具","棘轮扳手组","蓝",13876,"2x1","",1
"0067","工具","手锯","蓝",9614,"1x2","",1
"0068","工具","电烙铁","蓝",7482,"1x1","",1
"0069","工具","手动电钻","蓝",4897,"1x1","",1
"0070","工具","活动扳手","蓝",3114,"1x2","本品质最低",1
"0071","工具","砂纸套装","白",275,"1x1","本品质最高",1
"0072","工具","破损卷尺","白",146,"1x1","",1
"0073","工具","钝口剪钳","白",89,"1x1","",1
"0074","工具","磨损扳手","白",44,"1x2","",1
